NodeID5,Question,NodeID6,Groundtruth
fa0111,I've been working in the Food Safety field and came across an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I'm currently focused on Animal Welfare Claims and have completed the step of defining these claims. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,"In the food safety field, I've been working with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've completed the step of providing supporting documentation for animal welfare claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"In the Food Safety field, I've encountered an issue related to the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already completed the step of obtaining third-party certification for animal welfare claims. What should I do next?",fa010,End
fa0121,"In the field of Food Safety, I encountered an issue concerning the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the section on defining breed claims. What should my next step be?",fa0112,Provide Supporting Documentation
fa0112,"In the field of Food Safety, I've been working with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've completed the step of providing supporting documentation for breed claims. What should I do next?",fa0123,Verify with Breed Organization or AMS
fa0123,"In the field of food safety, I faced an issue concerning the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I have already verified the Breed Claims with the Breed Organization or AMS. What should I do next?",fa010,End
fa0131,"While working in the food safety field, I encountered a challenge related to the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the section on defining diet claims. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"In the Food Safety field, I encountered an issue concerning the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the step of providing supporting documentation for diet claims. What should I do next?",fa0133,Validate Diet Practices
fa0133,"In the field of Food Safety, I encountered an issue regarding the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I have finished validating diet practices related to diet claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"In the field of food safety, I encountered an issue regarding the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. Specifically, I'm working on diet claims and have already obtained third-party certification. What should my next step be?",fa010,End
fa0141,"While working in the Food Safety field, I encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the section on defining Living or Raising Conditions Claims. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"In the field of Food Safety, I faced an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. While working on claims about living or raising conditions, I have already completed the step of providing supporting documentation. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"While working in the food safety field, I encountered a challenge related to the FSIS guideline on substantiating animal-raising or environment-related labeling claims. I have already completed obtaining third-party certification for living or raising conditions claims. What should I do next?",fa010,End
fa0151,"In the food safety field, I've been working with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've defined the Negative Antibiotics Use Claims, but I'm unsure what my next steps should be. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"In the field of Food Safety, I came across an issue concerning the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've finished providing the supporting documentation for Negative Antibiotics Use Claims. What steps should I take next?",fa0113,Obtain Third-Party Certification
fa0113,"In the Food Safety field, I've encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. While working on claims related to the absence of antibiotics use, I have completed the step of obtaining third-party certification. What should I do next?",fa010,End
fa0161,I've been working in the food safety field and encountered an issue with the FSIS guidelines on substantiating animal-raising or environment-related labeling claims. I've already defined the environment-related claims. What should my next step be?,fa0112,Provide Supporting Documentation
fa0112,"I've been working in the food safety field, focusing on the FSIS Guideline for substantiating animal-raising or environment-related labeling claims. I've completed the step of providing supporting documentation for environment-related claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"In the field of Food Safety, I encountered a challenge with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I have already obtained third-party certification for the Environment-Related Claims. What steps should I take next?",fa010,End
fa0211,"I've been working on a livestock and poultry residue prevention workflow in the food safety field, specifically following the FSIS Guideline for Residue Prevention. I've completed the step of confirming producer history. What should I do next?",fa0212,Purchase Animals Free of Violative Residues
fa0212,"In the field of food safety, I encountered an issue related to the FSIS Guideline for Residue Prevention. While working on the Livestock and Poultry Residue Prevention Workflow, I completed the step of purchasing animals free of violative residues. What should I do next?",fa0213,Ensure Animal Identification
fa0213,"I've been working in the Food Safety field and encountered an issue with the FSIS Guideline for Residue Prevention. After completing the step of ensuring animal identification in the Livestock and Poultry Residue Prevention Workflow, what should I do next?",fa0214,Provide Producer Information to FSIS
fa0214,"In the field of food safety, I ran into an issue with the FSIS Guideline for Residue Prevention while working on the Livestock and Poultry Residue Prevention Workflow. I've already completed the step of providing producer information to FSIS. What should my next step be?",fa0215,Notify Producers of Detected Residues
fa0215,"In the field of Food Safety, I've been working with the FSIS Guideline for Residue Prevention. After completing the step of notifying producers about detected residues in the Livestock and Poultry Residue Prevention Workflow, what should my next step be?",fa020,End
fa0221,"In the field of food safety, I encountered a challenge related to the FSIS Guideline for Residue Prevention. While working on HACCP system controls for historic residue violations, I have completed the task of obtaining supporting documentation. What should I do next?",fa0222,Establish a Critical Control Point (CCP)
fa0222,Iâ€™m working in the Food Safety field and encountered a problem related to the FSIS Guideline for Residue Prevention. I've already established a Critical Control Point (CCP) while working on HACCP System Controls for historic residue violations. What should I do next?,fa0223,Perform Residue Testing
fa0223,"In the Food Safety field, I've encountered an issue related to the FSIS Guideline for Residue Prevention. While working on HACCP System Controls for Historic Residue Violations, I have completed the Residue Testing. What should I do next?",fa0224,Apply Corrective Actions for Violative Residues
fa0224,"In the field of Food Safety, I ran into an issue concerning the FSIS Guideline for Residue Prevention. I've already implemented corrective actions for violative residues as part of the HACCP System Controls for historic residue violations. What should I do next?",fa020,End
fa0231,"In the field of Food Safety, I came across an issue related to the FSIS Guideline for Residue Prevention. While working on Residue Testing Considerations, I've already completed the step of identifying the residue testing methodology. What should I do next?",fa0232,Conduct Validation and Ongoing Verification
fa0232,"In the field of Food Safety, I've been working with the FSIS Guideline for Residue Prevention. I've completed the Conduct Validation and Ongoing Verification steps for Residue Testing Considerations. What should I focus on next?",fa0233,Implement Live or Post-Mortem Testing
fa0233,"In the field of food safety, I've been working on issues related to the FSIS Guideline for Residue Prevention. After completing the implementation of live or post-mortem testing for residue, what steps should I take next?",fa020,End
fa0241,"In the field of food safety, I faced an issue concerning the FSIS Guideline for Residue Prevention. After completing the residue screening as part of the NSIS sorting procedures, what should I do next?",fa0242,Dispose of Animals with Violative Residues
fa0242,"In the field of food safety, I've been working with the FSIS Guideline for Residue Prevention. While handling NSIS sorting procedures, I've successfully disposed of animals with violative residues. What steps should I take next?",fa0243,Document Residue Testing Results
fa0243,"In the Food Safety field, I encountered an issue related to the FSIS Guideline for Residue Prevention. While working on NSIS Sorting Procedures, I completed the documentation of residue testing results. What should I do next?",fa020,End
fa0311,"In the field of food safety, I encountered a challenge related to the FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS). After completing the classroom training for poultry sorting and inspection, what should my next steps be?",fa0312,Implement Wet Lab Training
