NodeID5,Question,NodeID6,Groundtruth
fa0111,"While working on Animal Welfare Claims, I have completed establishing the meaning of claims such as ""Humanely Raised,"" ""Raised with Care,"" and ""Ethically Raised,"" and have provided detailed information for substantiation. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've completed the descriptions of animal care, signed statements on practices, segregation methods, and any applicable third-party certifications for the Animal Welfare Claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"I've completed the step of using third-party certification to verify animal welfare claims, ensuring the certifier's name, website, and logo are present on the label. What should I do next?",fa010,End
fa0121,I've finished specifying the breed and its unique traits for the Breed Claims project. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,"I've completed the breed-specific verification records, product tracing mechanisms, and segregation methods for the Breed Claims project. What should I do next?",fa0123,Verify with Breed Organization or AMS
fa0123,"""I have completed using USDA Process Verified Programs or similar breed organization certification for Breed Claims. What should I do next?""",fa010,End
fa0131,"I've finished establishing claims like ""Grass Fed,"" ""Grain Fed,"" or ""Vegetarian Fed"" and provided details on feed practices. What should I work on next?",fa0112,Provide Supporting Documentation
fa0112,"I've completed the tasks of including signed statements, product tracing mechanisms, and diet-specific management practices for the Diet Claims project. What should I work on next?",fa0133,Validate Diet Practices
fa0133,"I've finished the section on handling deviations, such as supplementation during adverse conditions, by providing proof that these are exceptions and not the norm. What should I focus on next?",fa0113,Obtain Third-Party Certification
fa0113,I've finished verifying claims through third-party certification while working on Diet Claims. What should I do next?,fa010,End
fa0141,"I have completed establishing claims such as ""Free Range,"" ""Cage Free,"" or ""Pasture Raised,"" and described the associated standards for Living or Raising Conditions Claims. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"While working on Living or Raising Conditions Claims, I have included segregation and tracing mechanisms and additional substantiation, such as continuous outdoor access for free-range claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I've completed the step of using third-party certification to substantiate claims related to Living or Raising Conditions. What should I do next?,fa010,End
fa0151,"While working on claims about negative antibiotic use, I've clarified terms like ""Raised Without Antibiotics"" and ""No Antibiotics Ever"" and ensured these claims are substantiated from birth to slaughter. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've completed the section on management practices, sampling programs, and the segregation of treated animals for the Negative Antibiotics Use Claims. What should I focus on next?",fa0113,Obtain Third-Party Certification
fa0113,I've completed the verification of claims through routine sampling or certification regarding negative antibiotic use. What should I do next?,fa010,End
fa0161,"I've completed establishing claims such as ""Sustainably Farmed"" or ""Carbon Neutral"" with supporting environmental data or studies. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"While working on environment-related claims, I've completed tasks related to tracing mechanisms, segregation methods, and substantiation of environmental impact claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I've finished verifying claims through an independent certifying organization for environment-related claims. What should I do next?,fa010,End
fa0211,I've completed the step of using the FSIS Residue Repeat Violators List (RRVL) to verify historical residue violations associated with producers before purchasing livestock. What should I do next?,fa0212,Purchase Animals Free of Violative Residues
fa0212,I've completed the step of buying animals from producers with a history of providing residue-free animals and effective residue prevention programs in the Livestock and Poultry Residue Prevention Workflow. What should I do next?,fa0213,Ensure Animal Identification
fa0213,"I've completed the task of maintaining sufficient animal identification, such as ear tags or tattoos, to ensure traceability back to the producer in the Livestock and Poultry Residue Prevention Workflow. What should I do next?",fa0214,Provide Producer Information to FSIS
fa0214,I've completed supplying detailed producer information at ante-mortem inspection to prevent issues with residue testing for the Livestock and Poultry Residue Prevention Workflow. What should I do next?,fa0215,Notify Producers of Detected Residues
fa0215,"I've completed informing producers in writing about any detected residues, including violations or high levels of non-violative residues, while working on the Livestock and Poultry Residue Prevention Workflow. What should I do next?",fa020,End
fa0221,"I have finished gathering documentation, such as audits, treatment records, or certifications, to demonstrate why a residue hazard is unlikely to occur in the HACCP system controls for historic residue violations. What should I do next?",fa0222,Establish a Critical Control Point (CCP)
fa0222,"I've completed the inclusion of a CCP for residue control, such as residue testing or documentation reviews, while working on HACCP System Controls for Historic Residue Violations. What should I do next?",fa0223,Perform Residue Testing
fa0223,I've completed the use of residue testing methods both pre- and post-slaughter to ensure that hazards are controlled as part of the HACCP System Controls for Historic Residue Violations. What should I do next?,fa0224,Apply Corrective Actions for Violative Residues
fa0224,"Having completed the reassessment of HACCP plans and adjusted procedures following a residue violation, what should my next steps be?",fa020,End
fa0231,"I've finished selecting a residue testing method based on the detected compounds, testing frequency, and historical data. What should I do next?",fa0232,Conduct Validation and Ongoing Verification
fa0232,I've finished validating and verifying the testing methods for accuracy and reliability while working on residue testing considerations. What should I do next?,fa0233,Implement Live or Post-Mortem Testing
fa0233,"I've completed the residue testing on live animals and carcasses using various biological samples such as blood, urine, and tissue. What should I do next?",fa020,End
fa0241,I've completed the task of screening animals or carcasses both ante- and post-mortem for potential residue violations in the NSIS Sorting Procedures. What should I do next?,fa0242,Dispose of Animals with Violative Residues
fa0242,I've finished removing diseased or residue-affected animals from the food supply before FSIS inspection while working on NSIS sorting procedures. What should I do next?,fa0243,Document Residue Testing Results
fa0243,I've completed maintaining accurate records of testing results and sorting procedures for NSIS. What should I do next?,fa020,End
fa0311,I've completed the foundational knowledge about poultry anatomy and inspection protocols while working on Poultry Sorting and Inspection. What should I focus on next?,fa0312,Implement Wet Lab Training
fa0312,I've completed hands-on training for identifying defects in poultry carcasses during my work in Poultry Sorting and Inspection. What should I do next?,fa0313,Perform On-the-Job Training
fa0313,I've completed training personnel to conduct poultry sorting at production speed while adhering to standards. What should I do next?,fa0314,Monitor Sorting Performance
fa0314,I've completed the regular assessment of sorters to ensure they comply with inspection standards in the Poultry Sorting and Inspection process. What should I do next?,fa0315,Carcass Disposition Decision
fa0315,I've finished determining whether carcasses meet the wholesomeness criteria or need to be disposed of while working on poultry sorting and inspection. What should I do next?,fa030,End
fa0321,I've completed the evaluation of generalized disease conditions by examining the liver and spleen. What should I focus on next?,fa0322,Localized Trimming for Tumors
fa0322,I've finished trimming the affected areas for the Disease Condition Evaluation. What should I do next?,fa0323,Generalized Disease Disposal
fa0323,I've finished disposing of carcasses that showed systemic disease conditions while working on Disease Condition Evaluation. What should I do next?,fa0324,Train Inspectors for Disease Identification
fa0324,I've completed the specialized training on accurately identifying and managing diseased carcasses for Disease Condition Evaluation. What should I do next?,fa030,End
fa0331,I've completed the task of systematically identifying and removing parts that don't meet quality standards in Meat Quality Control. What should I do next?,fa0332,Localized Condition Handling
