NodeID5,Question,NodeID6,Groundtruth
fa0111,I've encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed defining the animal welfare claims. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,I've encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the step of providing supporting documentation. What should I do next?,fa0113,Obtain Third-Party Certification
fa0113,I've encountered a problem with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already completed the step of obtaining third-party certification. What should I do next?,fa010,End
fa0121,"I encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the ""Define Breed Claims"" section. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,I encountered a problem with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I have already provided the supporting documentation. What should I do next?,fa0123,Verify with Breed Organization or AMS
fa0123,I encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already verified with the Breed Organization or AMS. What should I do next?,fa010,End
fa0131,I've completed the section on defining diet claims in the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,I encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already provided the supporting documentation. What should I do next?,fa0133,Validate Diet Practices
fa0133,I've encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the validation of diet practices. What should I do next?,fa0113,Obtain Third-Party Certification
fa0113,I've encountered a problem with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already completed the step to obtain third-party certification. What should I do next?,fa010,End
fa0141,I've encountered an issue with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already completed the section on defining living conditions claims. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,I've encountered an issue with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already provided the supporting documentation. What should I do next?,fa0113,Obtain Third-Party Certification
fa0113,I encountered an issue with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already completed the step of obtaining third-party certification. What should I do next?,fa010,End
fa0151,I've encountered an issue with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already defined the negative antibiotics use claims. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,"""I've encountered an issue with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already completed the step of providing supporting documentation. What should I do next?""",fa0113,Obtain Third-Party Certification
fa0113,I've run into an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already obtained third-party certification. What should I do next?,fa010,End
fa0161,I've completed the section on defining environment-related claims according to the FSIS Guideline for substantiating animal-raising or environment-related labeling claims. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,I've encountered a problem with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the step of providing supporting documentation. What should I do next?,fa0113,Obtain Third-Party Certification
fa0113,I encountered an issue regarding the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already obtained third-party certification. What should I do next?,fa010,End
fa0211,"""I encountered a problem related to the FSIS Guideline for Residue Prevention. I have already completed the step of confirming the producer's history. What should I do next?""",fa0212,Purchase Animals Free of Violative Residues
fa0212,I've encountered an issue with the FSIS Guideline for Residue Prevention. I've already completed the step of purchasing animals free of violative residues. What should I do next?,fa0213,Ensure Animal Identification
fa0213,I've encountered an issue concerning the FSIS Guideline for Residue Prevention. I've already completed the step of ensuring animal identification. What should I do next?,fa0214,Provide Producer Information to FSIS
fa0214,I've encountered an issue with the FSIS Guideline for Residue Prevention. I've already provided the producer information to FSIS. What steps should I take next?,fa0215,Notify Producers of Detected Residues
fa0215,I've encountered an issue with the FSIS Guideline for Residue Prevention. I've already notified the producers about the detected residues. What should I do next?,fa020,End
fa0221,I've encountered an issue regarding the FSIS Guideline for Residue Prevention. I've already completed the step to obtain supporting documentation. What should I do next?,fa0222,Establish a Critical Control Point (CCP)
fa0222,I've encountered an issue with the FSIS Guideline for Residue Prevention. I've already established a Critical Control Point (CCP). What should I do next?,fa0223,Perform Residue Testing
fa0223,I've encountered an issue related to the FSIS Guideline for Residue Prevention. I've already completed the residue testing. What should I do next?,fa0224,Apply Corrective Actions for Violative Residues
fa0224,I encountered an issue with the FSIS Guideline for Residue Prevention and have already applied corrective actions for violative residues. What should I do next?,fa020,End
fa0231,I've encountered an issue regarding the FSIS Guideline for Residue Prevention. I've already completed the step of identifying the residue testing methodology. What should I do next?,fa0232,Conduct Validation and Ongoing Verification
