NodeID5,Question,NodeID6,Groundtruth
fa0111,"In the Food Safety field, I've identified an issue concerning Animal Welfare Claims and have finished defining them. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"In the field of food safety, I've come across an issue concerning animal welfare claims. I've already finished compiling the supporting documentation. What steps should I take next?",fa0113,Obtain Third-Party Certification
fa0113,"In the field of Food Safety, I encountered an issue with Animal Welfare Claims. I have already obtained third-party certification. What should I do next?",fa010,End
fa0121,"In the Food Safety field, I've encountered an issue related to breed claims and have already defined them. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"In the Food Safety field, I've encountered an issue with Breed Claims. I've already provided the supporting documentation. What should I do next?",fa0123,Verify with Breed Organization or AMS
fa0123,"In the Food Safety field, I've encountered an issue concerning breed claims. I've already verified with the breed organization or AMS. What should I do next?",fa010,End
fa0131,"In the field of Food Safety, I've encountered an issue with diet claims and have completed defining them. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"In the Food Safety field, I've encountered an issue related to diet claims. I've already completed the step of providing supporting documentation. What should I do next?",fa0133,Validate Diet Practices
fa0133,"In the field of food safety, I've dealt with issues related to diet claims and have completed the process of validating diet practices. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"In the field of Food Safety, I encountered an issue related to diet claims. I've already obtained third-party certification. What should I do next?",fa010,End
fa0141,"In the Food Safety field, I encountered a problem related to claims about living or raising conditions. I have already defined these claims. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"In the food safety field, I encountered an issue with claims about living or raising conditions. I've already completed the necessary supporting documentation. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"In the field of Food Safety, I encountered an issue with claims about living or raising conditions. I've already obtained third-party certification. What should I do next?",fa010,End
fa0151,"In the Food Safety field, I've encountered an issue with negative antibiotic use claims. I have already defined what these claims entail. What should my next steps be?",fa0112,Provide Supporting Documentation
fa0112,"In the field of Food Safety, I've addressed an issue concerning claims about the absence of antibiotic use and have completed the supporting documentation. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"In the field of food safety, I've addressed an issue regarding negative antibiotic use claims and have obtained third-party certification. What steps should I take next?",fa010,End
fa0161,I've identified a problem with environment-related claims in the food safety field and have already defined these claims. What should my next steps be?,fa0112,Provide Supporting Documentation
fa0112,"In the Food Safety field, I've addressed an issue concerning Environment-Related Claims and have completed the supporting documentation. What steps should I take next?",fa0113,Obtain Third-Party Certification
fa0113,"In the field of Food Safety, I faced an issue with Environment-Related Claims and have already obtained Third-Party Certification. What should I do next?",fa010,End
fa0211,"In the field of Food Safety, I've encountered an issue with the Livestock and Poultry Residue Prevention Workflow. I've already completed the step of confirming producer history. What should I do next?",fa0212,Purchase Animals Free of Violative Residues
fa0212,"In the field of food safety, I've addressed the issue of purchasing animals free of violative residues as part of the livestock and poultry residue prevention workflow. What steps should I take next?",fa0213,Ensure Animal Identification
fa0213,"In the Food Safety field, I've encountered an issue with the Livestock and Poultry Residue Prevention Workflow. I've already completed the step of ensuring animal identification. What should I do next?",fa0214,Provide Producer Information to FSIS
fa0214,"In the Food Safety field, I've encountered an issue with the Livestock and Poultry Residue Prevention Workflow. I've already provided the producer information to FSIS. What should I do next?",fa0215,Notify Producers of Detected Residues
fa0215,"In the field of food safety, I faced an issue concerning the workflow for preventing residues in livestock and poultry. I have already notified the producers about the detected residues. What steps should I take next?",fa020,End
fa0221,"In the field of Food Safety, I encountered an issue concerning HACCP System Controls for historic residue violations. I have already gathered the supporting documentation. What steps should I take next?",fa0222,Establish a Critical Control Point (CCP)
fa0222,"In the field of food safety, I've been dealing with an issue related to HACCP system controls for historic residue violations. I've already established a Critical Control Point (CCP). What should I do next?",fa0223,Perform Residue Testing
fa0223,"In the food safety field, I've encountered an issue with HACCP system controls concerning historic residue violations. I've already completed the necessary residue testing. What steps should I take next?",fa0224,Apply Corrective Actions for Violative Residues
