NodeID5,Question,NodeID6,Groundtruth
fa0111,"I encountered an issue with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I have already defined animal welfare claims and established the meaning of terms like ""Humanely Raised,"" ""Raised with Care,"" or ""Ethically Raised,"" and I have provided detailed information for substantiation. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've completed the supporting documentation for the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. This includes descriptions of animal care, signed statements on practices, segregation methods, and third-party certification, if applicable. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"I've followed the FSIS Guideline on substantiating animal-raising or environment-related labeling claims and have completed the step of obtaining third-party certification. This includes using the third-party certification to verify claims and ensuring that the certifier's name, website, and logo are present on the label. What should I do next?",fa010,End
fa0121,"I encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the section on defining breed claims, including specifying the breed (such as Angus, Wagyu, or Berkshire) and its unique traits. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've encountered an issue with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've already completed the step of providing supporting documentation, including breed-specific verification records, product tracing mechanisms, and segregation methods. What should I do next?",fa0123,Verify with Breed Organization or AMS
fa0123,"I've encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the verification with the Breed Organization or AMS, using USDA Process Verified Programs or a similar breed organization certification. What should I do next?",fa010,End
fa0131,"I've completed the section on defining diet claims, such as ""Grass Fed,"" ""Grain Fed,"" or ""Vegetarian Fed,"" and provided details on feed practices. What should I do next regarding the FSIS Guideline on substantiating animal-raising or environment-related labeling claims?",fa0112,Provide Supporting Documentation
fa0112,"I've encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the step of providing supporting documentation, including signed statements, product tracing mechanisms, and diet-specific management practices. What should I do next?",fa0133,Validate Diet Practices
fa0133,"I've encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've completed the step to validate diet practices, specifically addressing any deviations, such as supplementation during adverse conditions, by providing proof that these events are exceptions and not routine. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I've encountered an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the step of obtaining third-party certification to verify the claims. What should I do next?,fa010,End
