NodeID5,Question,NodeID6,Groundtruth
fa0111,"""I've finished working on Define Animal Welfare Claims. What should I do next?""",fa0112,Provide Supporting Documentation
fa0112,"""I've finished providing the supporting documentation. What should I do next?""",fa0113,Obtain Third-Party Certification
fa0113,I have completed obtaining third-party certification. What should I do next?,fa010,End
fa0121,"""I've finished working on Define Breed Claims. What should I do next?""",fa0112,Provide Supporting Documentation
fa0112,"""I've finished providing the supporting documentation. What should I do next?""",fa0123,Verify with Breed Organization or AMS
fa0123,"""I've completed the verification with the Breed Organization or AMS. What should I do next?""",fa010,End
fa0131,I've finished working on Define Diet Claims. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,"""I've finished providing the supporting documentation. What should I do next?""",fa0133,Validate Diet Practices
fa0133,"""I've finished validating diet practices. What should I do next?""",fa0113,Obtain Third-Party Certification
fa0113,"""I have completed obtaining third-party certification. What should I do next?""",fa010,End
fa0141,I've finished defining the living conditions claims. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,"""I've finished providing the supporting documentation. What should I do next?""",fa0113,Obtain Third-Party Certification
fa0113,I've completed obtaining third-party certification. What should I do next?,fa010,End
fa0151,I've finished defining claims about negative antibiotic use. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,I've finished providing the supporting documentation. What should I do next?,fa0113,Obtain Third-Party Certification
fa0113,"""I have completed obtaining third-party certification. What should I do next?""",fa010,End
fa0161,I've finished the task on defining environment-related claims. What should I do next?,fa0112,Provide Supporting Documentation
fa0112,I've finished providing the supporting documentation. What should I do next?,fa0113,Obtain Third-Party Certification
fa0113,"""I have completed obtaining third-party certification. What should I do next?""",fa010,End
fa0211,"""I've finished confirming the producer history. What should I do next?""",fa0212,Purchase Animals Free of Violative Residues
fa0212,"""I've completed 'Purchase Animals Free of Violative Residues.' What should I do next?""",fa0213,Ensure Animal Identification
fa0213,I have finished Ensure Animal Identification. What should I do next?,fa0214,Provide Producer Information to FSIS
fa0214,"""I've finished providing producer information to FSIS. What should I do next?""",fa0215,Notify Producers of Detected Residues
fa0215,"""I've finished notifying producers about detected residues. What should I do next?""",fa020,End
fa0221,I've finished obtaining the supporting documentation. What should I do next?,fa0222,Establish a Critical Control Point (CCP)
fa0222,"""I've completed the task of establishing a Critical Control Point (CCP). What should I do next?""",fa0223,Perform Residue Testing
fa0223,I've completed the residue testing. What should I do next?,fa0224,Apply Corrective Actions for Violative Residues
fa0224,I've finished applying corrective actions for violative residues. What should I do next?,fa020,End
fa0231,"""I have finished the Identify Residue Testing Methodology. What should I do next?""",fa0232,Conduct Validation and Ongoing Verification
fa0232,What should I do next after completing Conduct Validation and Ongoing Verification?,fa0233,Implement Live or Post-Mortem Testing
fa0233,I've finished implementing live or post-mortem testing. What should I do next?,fa020,End
fa0241,I've finished the Perform Residue Screening. What should I do next?,fa0242,Dispose of Animals with Violative Residues
fa0242,"I've completed ""Dispose of Animals with Violative Residues."" What should I do next?",fa0243,Document Residue Testing Results
fa0243,"Now that I've completed the Document Residue Testing Results, what should I do next?",fa020,End
fa0311,"""I have completed conducting classroom training. What should I do next?""",fa0312,Implement Wet Lab Training
fa0312,"""I've completed my Wet Lab Training. What should I do next?""",fa0313,Perform On-the-Job Training
fa0313,"""I've completed my on-the-job training. What should I do next?""",fa0314,Monitor Sorting Performance
fa0314,I've finished working on Monitor Sorting Performance. What should I do next?,fa0315,Carcass Disposition Decision
fa0315,What should I do next after completing the Carcass Disposition Decision?,fa030,End
fa0321,"""I've finished identifying disease conditions. What should I do next?""",fa0322,Localized Trimming for Tumors
fa0322,"""I've finished the localized trimming for tumors. What should I do next?""",fa0323,Generalized Disease Disposal
fa0323,I have finished the Generalized Disease Disposal course. What should I do next?,fa0324,Train Inspectors for Disease Identification
fa0324,I've completed the Train Inspectors for Disease Identification course. What should I do next?,fa030,End
fa0331,I've finished implementing the sorting procedures. What should I do next?,fa0332,Localized Condition Handling
fa0332,"""I've finished working on Localized Condition Handling. What should I do next?""",fa0323,Generalized Disease Disposal
fa0323,I've completed Generalized Disease Disposal. What should I do next?,fa0315,Carcass Disposition Decision
fa0315,What should I do next after completing the Carcass Disposition Decision?,fa030,End
fa0411,I've finished identifying products eligible for donation. What should I do next?,fa0412,Verify Product Condition
fa0412,I've finished verifying the product condition. What should I do next?,fa0413,Label Products for Donation
fa0413,"""I've finished labeling products for donation. What should I do next?""",fa0414,Ship Products Safely
fa0414,I've completed the Ship Products Safely course. What should I do next?,fa040,End
fa0412,I've finished verifying the product condition. What should I do next?,fa0422,Repackage and Label Products
fa0422,I've finished repackaging and labeling the products. What should I do next?,fa0414,Ship Products Safely
fa0414,"I've completed the ""Ship Products Safely"" task. What should I do next?",fa0424,Distribute to Consumers
fa0424,I've finished distributing to consumers. What should I do next?,fa040,End
fa0431,I've finished the course on Liability Protection. What should I do next?,fa0432,Ensure Good Faith Compliance
fa0432,"""I have completed Ensure Good Faith Compliance. What steps should I take next?""",fa0433,Educate Donors and Recipients
fa0433,"""I have completed educating donors and recipients. What should I do next?""",fa040,End
fa0511,"""I've finished the Purpose Statement. What should I do next?""",fa0512,Describe Washing and Chilling Systems
fa0512,I've finished describing the washing and chilling systems. What should I do next?,fa0513,Detail Chiller System Configurations
fa0513,I've finished configuring the detail chiller system. What should I do next?,fa0514,Identify Variable Factors in the Chilling System
fa0514,I've finished identifying the variable factors in the chilling system. What should I do next?,fa0515,Set Standards for Chilling Systems
fa0515,"""I've finished setting standards for chilling systems. What should I do next?""",fa0516,Implement Testing Methods
fa0516,I've finished implementing the testing methods. What should I do next?,fa0517,Evaluate Results and Report Data
fa0517,I've finished evaluating the results and reporting the data. What should I do next?,fa050,End
fa0511,I've finished the Purpose Statement. What should I do next?,fa0522,Maintain Process Control
fa0522,I've finished Maintain Process Control. What should I do next?,fa0523,Maintain Process Control
fa0523,I've finished Maintain Process Control. What should I do next?,fa0516,Implement Testing Methods
fa0516,I've finished implementing testing methods. What should I do next?,fa050,End
fa0531,"""I've finished creating accurate retained water statements. What should I do next?""",fa0532,Distinguish Multi-Ingredient Products
fa0532,"I've finished the ""Distinguish Multi-Ingredient Products"" task. What should I do next?",fa0533,Address Special Labeling Scenarios
fa0533,I've finished the Address Special Labeling Scenarios. What should I do next?,fa050,End
fa0611,I've finished my classroom training. What should I do next?,fa0612,Wet Lab Training
