NodeID5,Question,NodeID6,Groundtruth
fa0111,"I've finished establishing the meaning of claims like ""Humanely Raised,"" ""Raised with Care,"" or ""Ethically Raised"" and provided detailed information to substantiate them. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've completed the descriptions of animal care, signed statements on practices, segregation methods, and, if applicable, obtained third-party certification. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"I've completed the step of using third-party certification to verify claims, making sure the certifier's name, website, and logo are on the label. What should I do next?",fa010,End
fa0121,"I've completed specifying the breed (e.g., Angus, Wagyu, Berkshire) and its unique traits. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've completed the breed-specific verification records, product tracing mechanisms, and segregation methods. What should I do next?",fa0123,Verify with Breed Organization or AMS
fa0123,I've completed the USDA Process Verified Programs or a similar breed organization certification. What should I do next?,fa010,End
fa0131,"I've completed establishing claims like ""Grass Fed,"" ""Grain Fed,"" or ""Vegetarian Fed"" and provided details on feed practices. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I have completed the signed statements, product tracing mechanisms, and diet-specific management practices. What should I do next?",fa0133,Validate Diet Practices
fa0133,"I've completed the task of documenting that any deviations, like supplementation during adverse conditions, are exceptions and not routine. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I have completed the process of verifying claims through third-party certification. What should I do next?,fa010,End
fa0141,"I've completed the section on claims like ""Free Range,"" ""Cage Free,"" or ""Pasture Raised"" and described the associated standards. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've finished including segregation and tracing mechanisms, as well as additional substantiation, like continuous outdoor access for free-range claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I've completed the step of using third-party certification to substantiate claims. What should I do next?,fa010,End
fa0151,"I've finished clarifying terms like ""Raised Without Antibiotics"" or ""No Antibiotics Ever"" and ensuring that the claims are substantiated from birth to slaughter. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've finished including descriptions of management practices, sampling programs, and the segregation of treated animals. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I've completed the task of verifying claims through routine sampling or certification. What should I do next?,fa010,End
fa0161,"""I have completed establishing claims like 'Sustainably Farmed' or 'Carbon Neutral' with supporting environmental data or studies. What should I do next?""",fa0112,Provide Supporting Documentation
fa0112,"I have completed the tasks of incorporating tracing mechanisms, segregation methods, and substantiating environmental impact claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"""I've completed the process of verifying claims through an independent certifying organization. What should I do next?""",fa010,End
fa0211,I've completed using the FSIS Residue Repeat Violators List (RRVL) to check for historical residue violations linked to producers before purchasing livestock. What should I do next?,fa0212,Purchase Animals Free of Violative Residues
fa0212,I've finished buying animals from producers with a good track record of providing residue-free animals and effective residue prevention programs. What should I do next?,fa0213,Ensure Animal Identification
fa0213,"I've completed maintaining sufficient animal identification, like ear tags or tattoos, for traceability back to the producer. What should I do next?",fa0214,Provide Producer Information to FSIS
fa0214,I have provided detailed producer information at the ante-mortem inspection to prevent issues with residue testing. What should I do next?,fa0215,Notify Producers of Detected Residues
fa0215,"""I have finished notifying producers in writing about any detected residues, including both violations and high levels of non-violative residues. What should I do next?""",fa020,End
fa0221,"I've finished gathering documentation, such as audits, treatment records, or certifications, to show why a residue hazard is not reasonably likely to occur. What should I do next?",fa0222,Establish a Critical Control Point (CCP)
fa0222,"I've completed the step of including a CCP for residue control, such as residue testing or documentation reviews. What should I do next?",fa0223,Perform Residue Testing
fa0223,I've completed the task of using residue testing methods before or after slaughter to ensure hazards are controlled. What should I do next?,fa0224,Apply Corrective Actions for Violative Residues
fa0224,What should I do next after completing the reassessment of HACCP plans and adjusting procedures following a residue violation?,fa020,End
fa0231,"I've completed the task of selecting a residue testing method based on the compounds detected, the frequency of testing, and historical data. What should I do next?",fa0232,Conduct Validation and Ongoing Verification
fa0232,What should I do next after completing the validation and verification testing methods to ensure accuracy and reliability?,fa0233,Implement Live or Post-Mortem Testing
fa0233,"I've completed residue testing on live animals or carcasses using various biological samples, such as blood, urine, and tissue. What should I do next?",fa020,End
fa0241,"I have finished screening animals or carcasses for potential residue violations, both before and after death. What should I do next?",fa0242,Dispose of Animals with Violative Residues
fa0242,I've completed the task of removing diseased or residue-affected animals from the food supply before FSIS inspection. What should I do next?,fa0243,Document Residue Testing Results
fa0243,"""I have finished maintaining accurate records of testing results and sorting procedures. What should I do next?""",fa020,End
fa0311,I've completed my work on providing foundational knowledge about poultry anatomy and inspection protocols. What should I do next?,fa0312,Implement Wet Lab Training
fa0312,"""I have completed hands-on training for identifying defects in poultry carcasses. What should I do next?""",fa0313,Perform On-the-Job Training
fa0313,I have finished training personnel to conduct sorting at production speed while adhering to standards. What should I do next?,fa0314,Monitor Sorting Performance
fa0314,"""I have completed regularly assessing sorters to ensure they comply with inspection standards. What should I do next?""",fa0315,Carcass Disposition Decision
fa0315,"""I have finished determining whether carcasses meet the wholesomeness criteria or need to be disposed of. What should I do next?""",fa030,End
fa0321,"""I have finished identifying generalized disease conditions by examining the liver and spleen. What should I do next?""",fa0322,Localized Trimming for Tumors
fa0322,"""I have finished trimming the affected areas. What should I do next?""",fa0323,Generalized Disease Disposal
fa0323,"""I have finished disposing of carcasses with systemic disease conditions. What should I do next?""",fa0324,Train Inspectors for Disease Identification
fa0324,I've completed the specialized training to accurately identify and manage diseased carcasses. What should I do next?,fa030,End
fa0331,"""Having completed the task of systematically identifying and removing parts that do not meet quality standards, what should I do next?""",fa0332,Localized Condition Handling
fa0332,I have addressed specific issues such as localized contamination or defects. What should I do next?,fa0323,Generalized Disease Disposal
fa0323,I have finished ensuring that carcasses with widespread issues are removed from the supply chain. What should I do next?,fa0315,Carcass Disposition Decision
fa0315,I've finished regularly inspecting processes to ensure they adhere to quality control protocols. What should I do next?,fa030,End
fa0411,"""I have determined whether the products are federally inspected, misbranded, economically adulterated, intended for export, or expired but still safe for consumption. What should I do next?""",fa0412,Verify Product Condition
fa0412,"I've completed ensuring that donated products are wholesome, free from adulteration, and properly labeled. What should I do next?",fa0413,Label Products for Donation
fa0413,"I've finished labeling donated products with ""Not for Sale"" and ""For Charity Only."" What should I do next?",fa0414,Ship Products Safely
fa0414,I've ensured that donated products are transported under conditions that maintain their wholesomeness. What should I do next?,fa040,End
fa0412,"""I have ensured that all donated products meet FSIS standards, including proper labeling and handling instructions. What should I do next?""",fa0422,Repackage and Label Products
fa0422,"I have finished repackaging donated products and applying the correct labels, including ingredients and safe-handling instructions. What should I do next?",fa0414,Ship Products Safely
fa0414,I've completed ensuring that donated products are distributed safely and in good condition to consumers in need. What should I do next?,fa0424,Distribute to Consumers
fa0424,I've ensured that donated products are safely distributed to individuals or organizations in need. What should I do next?,fa040,End
fa0431,I've finished reviewing the Bill Emerson Good Samaritan Food Donation Act to understand the liability exemptions for donors. What should I do next?,fa0432,Ensure Good Faith Compliance
fa0432,"I've finished donating products in good faith, making sure they're safe and free from harmful adulteration. What should I do next?",fa0433,Educate Donors and Recipients
fa0433,I've finished informing stakeholders about liability protections and compliance requirements under federal and state laws. What should I do next?,fa040,End
